3/14 09:02:20.928  ---- Startup ----
3/14 09:02:30.072  ---- ClientAvailableHotfixes ----
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50991, QuestV2CliTask
3/14 09:02:30.072      50991, QuestV2
3/14 09:02:30.072      50992, GlobalStrings
3/14 09:02:30.072      50993, SpellName
3/14 09:02:30.072      50993, AlliedRaceRacialAbility
3/14 09:02:30.072      50993, SpellName
3/14 09:02:30.072      50993, Spell
3/14 09:02:30.072      50993, Spell
3/14 09:02:30.072      50994, GlobalStrings
3/14 09:02:30.072      50994, GlobalStrings
3/14 09:02:30.072      50995, SpellMisc
3/14 09:02:30.072      50996, CreatureDisplayInfo
3/14 09:02:30.072      50996, CreatureDisplayInfo
3/14 09:02:30.072      50996, CreatureDisplayInfo
3/14 09:02:30.072      50997, SpellMisc
3/14 09:02:30.072      50997, SpellMisc
3/14 09:02:30.072      50997, SpellMisc
3/14 09:02:30.072      50999, SpellName
3/14 09:02:30.072      50999, Spell
3/14 09:02:30.072      50999, SpellCooldowns
3/14 09:02:30.072      50999, SpellCategories
3/14 09:02:30.072      51000, ItemBonus
3/14 09:02:30.072      51001, SpellMisc
3/14 09:02:30.072      51002, GameObjects
3/14 09:02:30.072      51002, QuestObjective
3/14 09:02:30.072      51002, GameObjects
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, QuestPOIBlob
3/14 09:02:30.072      51005, QuestPOIPoint
3/14 09:02:30.072      51005, Creature
3/14 09:02:30.072      51005, WorldEffect
